gene_id,symbol
64383,Sirt2
64384,Sirt3
75387,Sirt4
68346,Sirt5
209011,Sirt7
20471,Six1
20472,Six2
20473,Six3
20474,Six4
20475,Six5
20476,Six6
20481,Ski
20482,Skil
77799,Sla2
17125,Smad1
17126,Smad2
17127,Smad3
17128,Smad4
17129,Smad5
17130,Smad6
17131,Smad7
55994,Smad9
93761,Smarca1
67155,Smarca2
20586,Smarca4
93762,Smarca5
13990,Smarcad1
20587,Smarcb1
20588,Smarcc1
68094,Smarcc2
83797,Smarcd1
83796,Smarcd2
66993,Smarcd3
57376,Smarce1
66313,Smurf2
12180,Smyd1
20613,Snai1
20583,Snai2
30927,Snai3
75627,Snapc1
102209,Snapc2
77634,Snapc3
227644,Snapc4
330959,Snapc5
56463,Snd1
76793,Snip1
20638,Snrpb
20641,Snrpd1
50817,Solh
20664,Sox1
20665,Sox10
20666,Sox11
20667,Sox12
20668,Sox13
20669,Sox14
20670,Sox15
20671,Sox17
20674,Sox2
223227,Sox21
20675,Sox3
214105,Sox30
20677,Sox4
20678,Sox5
20679,Sox6
20680,Sox7
20681,Sox8
20682,Sox9
20683,Sp1
434484,Sp140
78912,Sp2
20687,Sp3
20688,Sp4
170574,Sp7
320145,Sp8
30051,Spdef
56381,Spen
272382,Spib
20728,Spic
26972,Spo11
79401,Spz1
20787,Srebf1
20788,Srebf2
20807,Srf
51796,Srrm1
21674,Sry
269397,Ss18l1
20823,Ssb
66970,Ssbp2
72475,Ssbp3
76900,Ssbp4
20833,Ssrp1
6757,SSX2
727837,SSX2B
387132,Ssxb2
387131,Ssxb9
240690,St18
20846,Stat1
20847,Stat2
20848,Stat3
20849,Stat4
20850,Stat5a
20851,Stat5b
20852,Stat6
20024,Sub1
24069,Sufu
114741,Supt16h
109115,Supt3h
20922,Supt4h1
20924,Supt5h
20926,Supt6h
72195,Supt7l
64707,Suv39h2
52615,Suz12
20997,T
217031,Tada2l
101206,Tada3l
270627,Taf1
24075,Taf10
68776,Taf11
66464,Taf12
99730,Taf13
70439,Taf15
21339,Taf1a
21340,Taf1b
21341,Taf1c
228980,Taf4a
72504,Taf4b
226182,Taf5
102162,Taf5l
21343,Taf6
225895,Taf6l
24074,Taf7
108143,Taf9
21349,Tal1
21350,Tal2
21357,Tarbp2
230908,Tardbp
76281,Tax1bp3
223754,Tbc1d22a
67016,Tbc1d2b
21372,Tbl1x
21374,Tbp
237336,Tbpl1
21375,Tbr1
21380,Tbx1
109575,Tbx10
21384,Tbx15
76365,Tbx18
83993,Tbx19
21385,Tbx2
57246,Tbx20
57765,Tbx21
245572,Tbx22
21386,Tbx3
21387,Tbx4
21388,Tbx5
21389,Tbx6
21399,Tcea1
21400,Tcea2
21401,Tcea3
237052,Tceal1
67923,Tceb1
67673,Tceb2
27224,Tceb3
653420,TCEB3CL2
56070,Tcerg1
21406,Tcf12
21407,Tcf15
106795,Tcf19
21411,Tcf20
21412,Tcf21
21415,Tcf3
21413,Tcf4
21414,Tcf7
21416,Tcf7l2
21418,Tcfap2a
21419,Tcfap2b
21420,Tcfap2c
226896,Tcfap2d
332937,Tcfap2e
83383,Tcfap4
21422,Tcfcp2
81879,Tcfcp2l1
21423,Tcfe2a
209446,Tcfe3
21425,Tcfeb
21426,Tcfec
277353,Tcfl5
21453,Tcof1
21676,Tead1
21677,Tead2
21678,Tead3
21679,Tead4
21685,Tef
21781,Tfdp1
211586,Tfdp2
69714,Tfpt
21804,Tgfb1i1
21815,Tgif1
